#P	count	tag	form
0.02	15	CCONJ	_
0.04	31	PRON	_
0.28	203	PUNCT	_
0.02	15	OTHER	_
0.08	55	ADJ	_
0.00	1	ADP	_
0.05	39	INTJ	_
0.01	4	NUM	_
0.03	25	ADV	_
0.01	7	SCONJ	_
0.10	72	VERB	_
0.00	3	PART	_
0.35	258	NOUN	_
0.00	2		_
1.00	1	NOUN	şriftların
1.00	1	OTHER	TRnıñ
1.00	4	ADJ	itü
1.00	1	NOUN	çeltärendä
1.00	1	NOUN	Aqidel
1.00	3	NOUN	sanaq
1.00	1	VERB	sizep
1.00	1	NOUN	moñ
1.00	1	VERB	eşkärtü
1.00	1	VERB	üsterüenä
1.00	1	PUNCT	;
1.00	1	ADJ	yazılğan
1.00	2	ADJ	ütkän
1.00	1	NOUN	ezläw
1.00	2	NOUN	elemtä
1.00	2	NOUN	räweştä
1.00	1	NOUN	ğämäli
1.00	1	NOUN	Wikipediä
1.00	1	NOUN	däwat
1.00	1	NOUN	Zölfiä
1.00	1	NOUN	sistemnarın
1.00	1	NOUN	ğömer
1.00	1	VERB	sala
1.00	5	NOUN	yıl
1.00	2	NOUN	serverı
1.00	1	NOUN	Elemtä
1.00	1	ADJ	totılğan
1.00	3	VERB	qatnaşqan
1.00	1	NOUN	Respublikı
1.00	1	VERB	qağılışlı
1.00	3	PRON	başqa
1.00	1	NOUN	citärlek
1.00	1	NOUN	resurslar
1.00	2	NOUN	Tatarlar
1.00	4	OTHER	da
1.00	1	NOUN	texnoloğiälärdä
1.00	1	NOUN	tellär
1.00	7	ADJ	Tatar
1.00	1	NOUN	tatarlıqqa
1.00	1	NOUN	proğrammada
1.00	1	ADV	Şunnan
1.00	1	NOUN	Qanunı
1.00	7	CCONJ	wä
1.00	1	VERB	qullanuçılar
1.00	1	OTHER	III
1.00	1	OTHER	II
1.00	3	NOUN	Respublikası
1.00	1	NOUN	fiker
1.00	1	NOUN	Däwlät
1.00	2	VERB	alğan
1.00	3	NOUN	saytı
1.00	3	VERB	üsterü
1.00	1	NOUN	Elektron
1.00	9	NOUN	Tatnet
1.00	1	VERB	Qararına
1.00	1	NOUN	Alxan
1.00	1	ADJ	Tatarça
1.00	1	ADJ	tieşle
1.00	5	ADV	soñ
1.00	1	ADV	tulısınça
1.00	1	ADV	arta
1.00	1	ADV	tağın
1.00	2	PRON	tarafınnan
1.00	1	ADV	astında
1.00	1	NOUN	telläre
1.00	1	CCONJ	v
1.00	1	NOUN	Respublikasında
1.00	3	PART	iñ
1.00	1	VERB	barlıqqa
1.00	1	VERB	açıluı
1.00	2	NOUN	aprelendä
1.00	1	NOUN	radiosınıñ
1.00	1	NOUN	ezläwen
1.00	2	NOUN	sistemı
1.00	1	NOUN	ataması
1.00	1	NOUN	oktäberendä
1.00	5	NOUN	qabul
1.00	3	VERB	bulğan
1.00	1	NOUN	kibete
1.00	16	NOUN	yılnıñ
1.00	10	NOUN	Tatarstan
1.00	3	NUM	berençe
1.00	1	NOUN	çorına
1.00	5	NOUN	sayt
1.00	1	NOUN	ağentlığın
1.00	2	ADV	yünendä
1.00	1	NOUN	Google
1.00	2	ADV	bik
1.00	1	ADJ	kämilläşterü
1.00	4	ADJ	isemle
1.00	3	NOUN	telendäge
1.00	1	NOUN	ministrılığında
1.00	1	NOUN	milläte
1.00	1	OTHER	IV
1.00	3	NOUN	xäbär
1.00	3	VERB	eşläp
1.00	37	INTJ	häm
1.00	1	NOUN	seti
1.00	2	VERB	eşlägän
1.00	1	NOUN	sintaqsis
1.00	1		ütä
1.00	1	NOUN	Prezidentı
1.00	3	ADV	bergä
1.00	2	VERB	buldıruı
1.00	2	NOUN	Respublikınıñ
1.00	1	NOUN	üseşendä
1.00	3	NOUN	internet
1.00	1	NOUN	qanatı
1.00	1	NOUN	Törkiädä
1.00	1	NOUN	Bäygedä
1.00	12	ADJ	tatar
1.00	1	ADV	eçenä
1.00	1	NOUN	konferensiäse
1.00	1	NOUN	köy
1.00	1	VERB	mäğlümatlaştıruın
1.00	1	NOUN	saytların
1.00	2	VERB	buldıru
1.00	1	ADJ	daimi
1.00	1	ADJ	räsmi
1.00	24	PUNCT	)
1.00	3	ADJ	äwerelä
1.00	1	NOUN	Räsäydäge
1.00	1	NOUN	isäpkä
1.00	1	NOUN	çeltären
1.00	2	VERB	mäğlümatlaştıru
1.00	5	ADV	buyınça
1.00	1	NOUN	kongressı
1.00	6	NOUN	mäğlümati
1.00	1	VERB	alışuı
1.00	1	OTHER	İntertat
1.00	1	NOUN	nigez
1.00	1	NOUN	modelen
1.00	1	ADJ	bulğannarı
1.00	1	VERB	barlığı
1.00	1	VERB	başlıy
1.00	2	ADJ	xalıqara
1.00	6	CCONJ	öçen
1.00	1	NOUN	radiosında
0.83	5	SCONJ	belän
0.17	1	ADP	belän
1.00	1	NOUN	resurslarnıñ
1.00	3	NOUN	çeltärendäge
1.00	1	NOUN	fayllar
1.00	1	NOUN	Qamal
1.00	2	NOUN	çığarıla
1.00	1	NOUN	morfoloğiä
1.00	1	NOUN	Komplekslı
1.00	2	NOUN	tellären
1.00	2	PRON	şul
1.00	1	NOUN	Bedretdin
1.00	1	NOUN	ştatları
1.00	1	NOUN	taratqıçın
1.00	1	ADJ	tigezle
1.00	1	NOUN	proğramma
1.00	1	NOUN	päräwez
1.00	1	NOUN	yıllarında
1.00	1	ADJ	başlağan
1.00	1	NOUN	öleş
1.00	1	ADV	tiräsendä
1.00	1	NOUN	yäki
1.00	1	NOUN	dönya
1.00	2	NOUN	Tatarları
1.00	3	NOUN	resursların
1.00	1	VERB	yäşäwçe
1.00	72	PUNCT	,
1.00	2	VERB	bula
1.00	2	VERB	oyıştırılğan
1.00	1	VERB	bulışu
1.00	1	ADJ	bülengän
1.00	2	ADJ	yaqın
1.00	1	NOUN	buldıruçılarnıñ
1.00	2	NOUN	xalqı
1.00	1	NOUN	waqıttan
1.00	1	VERB	kertü
1.00	1	NOUN	ağentlığı
1.00	1	VERB	buldıra
1.00	1	NOUN	teleneñ
1.00	1	NOUN	yıllarındağı
1.00	3	NOUN	däwam
1.00	4	VERB	torğan
1.00	2	OTHER	TR
1.00	4	NOUN	ğinwarında
1.00	1	NOUN	sanı
1.00	1	VERB	alıp
1.00	1	NOUN	Respublikındağı
1.00	1	NUM	Berençe
1.00	1	VERB	başlap
1.00	1	NOUN	Respublikasındağı
1.00	1	NOUN	draywer
1.00	1	ADJ	qızıqlı
1.00	1	NOUN	Qazanda
1.00	3	VERB	itä
1.00	1	NOUN	standartların
1.00	1	NOUN	nigezlären
1.00	1	NOUN	bäygese
1.00	2	NOUN	tele
1.00	1	NOUN	borılış
1.00	1	NOUN	säyäsäten
1.00	1	NOUN	qanunda
1.00	2	SCONJ	turında
1.00	2	NOUN	eşläwen
1.00	1	NOUN	elek
1.00	1	NOUN	proektların
1.00	1	NOUN	portalı
1.00	1	NOUN	ayırım
1.00	1	NOUN	proğramnarın
1.00	1	OTHER	TMG
1.00	1	NOUN	fonoloğiä
1.00	14	PRON	ul
1.00	1	PRON	härkem
1.00	1	NOUN	cırçı
1.00	5	NOUN	İnternet
1.00	2	NOUN	Bötendönya
1.00	1	NOUN	Group
1.00	1	NOUN	İnternetı
1.00	1	NOUN	çığaruın
1.00	1	NOUN	ölkälärendäge
1.00	1	NOUN	öyränü
1.00	1	ADJ	açılğan
1.00	1	VERB	qullanu
1.00	1	NOUN	Forumı
1.00	1	NOUN	Fänni
1.00	1	NOUN	tellärendä
1.00	1	PRON	üze
1.00	1	OTHER	ta
1.00	83	PUNCT	.
1.00	2	PRON	üz
1.00	1	PUNCT	(
1.00	12	VERB	ide
1.00	1	NOUN	tatarı
1.00	3	PRON	Şuşı
1.00	1	CCONJ	arada
1.00	8	NOUN	yılda
1.00	1	ADJ	kiçergän
1.00	1	VERB	söylämen
1.00	1	NOUN	saqlaw
1.00	1	NOUN	küzdä
1.00	1	NOUN	telen
1.00	1	NOUN	Qazan
1.00	1	NOUN	Forumnarı
1.00	1	VERB	küp
1.00	1	ADV	Annarı
1.00	1	PRON	alarnı
1.00	1	NOUN	saytları
1.00	1	NOUN	gäzite
1.00	4	ADJ	itelgän
1.00	1	NOUN	tatarlar
1.00	1	NOUN	martında
1.00	1	NOUN	isäptä
1.00	1	NOUN	modellären
1.00	1	NOUN	elektron
1.00	1	NOUN	alu
1.00	1	NOUN	urtası
1.00	2	INTJ	h
1.00	1		başlanğan
1.00	22	PUNCT	:
1.00	1	ADJ	törle
1.00	1	PRON	barısı
1.00	1	NOUN	yıllarına
1.00	1	NOUN	proektı
1.00	4	NOUN	däwlät
1.00	1	NOUN	kübese
1.00	2	OTHER	tä
1.00	1	NOUN	radiosı
1.00	2	VERB	uylap
1.00	1	PRON	başqalar
1.00	4	NOUN	Milli
1.00	1	NOUN	üseşe
1.00	1	NOUN	tellärendäge
1.00	1	VERB	kürä
1.00	2	NOUN	yıllardağı
1.00	1	NOUN	Sabirjan
1.00	1	VERB	almaşu
1.00	1	VERB	kilä
